"date","infections_mean","infections_sd","inf_lo01","inf_hi99","inf_lo05","inf_hi95","inf_lo10","inf_hi90","R_mean","R_sd","R_lo01","R_hi99","R_lo05","R_hi95","R_lo10","R_hi90","crossing_prob","end_first_ix","end_first_date","start_second_ix","start_second_date","country","confirm","first_low_ix","second_max_ix","first_low_date","second_max_date"
2020-03-09,310.428981534527,33.7795377385189,243.056998367328,399.056164814334,259.732198795358,369.327665673156,268.57900966108,355.038600527633,2.04506359262771,0.0968914352142645,1.84123348444603,2.29852668961123,1.89659308408101,2.21240147993237,1.92724711085456,2.17211430605876,1,40,2020-04-04,109,2020-06-12,"Austria",29,40,116,2020-04-04,2020-06-19
2020-03-10,376.640564009267,40.3925131162345,295.416785956885,482.786990720188,315.930517087794,447.546726064035,327.087089102831,429.689606317554,1.95374147229054,0.0931178758647713,1.7585458986212,2.19438834976904,1.81227656755669,2.1138610243272,1.84094232106985,2.07406052769908,1,40,2020-04-04,109,2020-06-12,"Austria",51,40,116,2020-04-04,2020-06-19
2020-03-11,446.707271480038,47.5617761027,350.99088152806,572.576969069839,375.8761401921,530.210749482336,388.727271116183,508.883610866599,1.85735835452786,0.0883227406083798,1.67028614855619,2.08875214273995,1.72420124410111,2.00953135794102,1.74906376537953,1.97134125178564,1,40,2020-04-04,109,2020-06-12,"Austria",64,40,116,2020-04-04,2020-06-19
2020-03-12,517.290781402664,54.9317039908419,407.321415790953,667.368476185127,435.482183191299,613.67489918555,450.843663354321,588.713990061291,1.75759644136594,0.0828041262215135,1.58040181082029,1.97288832534049,1.631524156359,1.89829436710467,1.6557953269709,1.86514797993315,1,40,2020-04-04,109,2020-06-12,"Austria",115,40,116,2020-04-04,2020-06-19
2020-03-13,584.434841800352,61.9821677961602,458.882651722023,751.891687278882,492.13193582208,692.766333086066,509.409826774943,665.065510806651,1.65625818122381,0.0770103420852451,1.49336528911295,1.85634976877869,1.53674127372032,1.78765727422415,1.56142607866685,1.75635917533807,1,40,2020-04-04,109,2020-06-12,"Austria",143,40,116,2020-04-04,2020-06-19
2020-03-14,644.001021949453,68.1259478692308,506.22897631372,827.220581149192,542.327834976346,763.721511186907,561.377783129282,733.826212210812,1.55515720903927,0.0714113384466735,1.40100211821313,1.7373446753353,1.44400096953166,1.67767428922107,1.46773147842864,1.64809390912156,1,40,2020-04-04,109,2020-06-12,"Austria",151,40,116,2020-04-04,2020-06-19
2020-03-15,692.230802645659,72.8493932151174,545.034995596397,887.817712993554,583.136971537122,822.727948159124,603.834681524618,787.391724846242,1.45601327846143,0.0663890283262945,1.30719634519677,1.62339458287931,1.35174507513991,1.56905338366059,1.37447074638331,1.54186741105739,1,40,2020-04-04,109,2020-06-12,"Austria",205,40,116,2020-04-04,2020-06-19
2020-03-16,726.269542956433,75.8383598481841,570.612004907994,931.176397728,612.491214618022,860.989496116514,635.081382296142,825.111619000793,1.36036250486711,0.0621622313242245,1.21690501586096,1.5152112230924,1.26221700566892,1.46504741680567,1.28374672505402,1.44006764221188,1,40,2020-04-04,109,2020-06-12,"Austria",156,40,116,2020-04-04,2020-06-19
2020-03-17,744.535659047549,77.0352449355833,586.436750062684,955.725105892828,629.43182933944,880.149241041993,651.648490563801,844.616660245351,1.26949111812647,0.0587607905376843,1.13147022627076,1.41469849317251,1.17550834256808,1.36801109419379,1.19582694402446,1.34396900919059,1,40,2020-04-04,109,2020-06-12,"Austria",316,40,116,2020-04-04,2020-06-19
2020-03-18,746.854613349188,76.6065046403921,587.888008358455,953.849591835824,631.174672113521,880.675101096517,653.980329820005,846.792135269682,1.18439687349463,0.0560540454620092,1.05170840486283,1.31838817420227,1.09271947457723,1.27763770187403,1.11400606012385,1.25488868540789,0.9987,40,2020-04-04,109,2020-06-12,"Austria",314,40,116,2020-04-04,2020-06-19
