"country_name","windowsize","bandwidth","nr_arcoefs","nr_macoefs","arima_convergence_warning","variance_tau","variance_first_diff_tau","autocovariance_tau","autocorrelation_tau","decay_time_tau","mean_tau","index_of_dispersion_tau","coefficient_of_variation_tau","skewness_tau","kurtosis_tau","variance_pvalue","variance_first_diff_pvalue","autocovariance_pvalue","autocorrelation_pvalue","decay_time_pvalue","mean_pvalue","index_of_dispersion_pvalue","coefficient_of_variation_pvalue","skewness_pvalue","kurtosis_pvalue","variance_pvalue_abs","variance_first_diff_pvalue_abs","autocovariance_pvalue_abs","autocorrelation_pvalue_abs","decay_time_pvalue_abs","mean_pvalue_abs","index_of_dispersion_pvalue_abs","coefficient_of_variation_pvalue_abs","skewness_pvalue_abs","kurtosis_pvalue_abs","backward_only","cut_first_window"
"Hungary",17,4,1,1,1,-0.895,0.364,0.251,0.17,0.284,0.482,-0.789,-0.743,-0.158,-0.439,0.998,0.016,0.348,0.408,0.352,0.016,1,1,0.602,0.706,0.022,0.04,0.76,0.85,0.747,0.034,0,0,0.76,0.486,TRUE,TRUE
"Ireland",17,4,2,2,1,-0.257,0.249,0.23,-0.014,-0.14,0.259,-0.505,-0.564,0.162,-0.648,0.718,0.008,0.308,0.508,0.655,0.106,1,1,0.352,0.976,0.58,0.03,0.622,0.968,0.657,0.192,0,0,0.674,0.044,TRUE,TRUE
"Italy",17,4,5,2,0,-0.323,0.226,0.38,0.439,0.406,0.146,-0.314,-0.407,0.327,-0.271,0.734,0.01,0.22,0.132,0.164,0.082,1,1,0.098,0.768,0.554,0.016,0.43,0.272,0.346,0.142,0,0,0.2,0.412,TRUE,TRUE
"Latvia",17,4,1,4,0,-0.638,-0.039,0.643,0.686,0.815,-0.308,0.1,0.15,0.59,0.77,0.81,0.494,0.144,0.104,0.018,0.964,0.28,0.196,0.038,0.052,0.358,0.884,0.338,0.258,0.053,0.05,0.54,0.402,0.086,0.1,TRUE,TRUE
"Lithuania",17,4,1,1,1,-0.719,0.156,-0.378,-0.289,-0.181,0.568,-0.733,-0.556,0.689,-0.09,0.916,0.204,0.67,0.642,0.582,0.076,0.998,0.974,0.058,0.498,0.25,0.55,0.65,0.736,0.869,0.132,0.006,0.084,0.104,0.908,TRUE,TRUE
"Luxembourg",17,4,4,4,1,-0.88,0.347,-0.426,-0.282,-0.346,-0.628,-0.659,-0.348,0.116,0.009,1,0,0.862,0.746,0.782,1,1,1,0.334,0.484,0,0,0.288,0.504,0.41,0,0,0,0.676,0.97,TRUE,TRUE
"Malta",17,4,3,2,1,-0.604,-0.357,-0.809,-0.473,-0.462,-0.52,-0.148,-0.148,-0.295,-0.699,0.794,0.862,0.922,0.734,0.756,0.986,0.712,0.714,0.76,0.84,0.526,0.176,0.168,0.5,0.487,0.028,0.562,0.55,0.428,0.224,TRUE,TRUE
"Netherlands",17,4,1,2,1,-0.779,-0.152,-0.909,-0.909,-0.909,-0.657,-0.212,0.273,0.748,0.718,0.942,0.67,0.998,1,1,0.948,0.762,0.196,0.018,0.064,0.208,0.566,0.01,0.006,0.006,0.148,0.514,0.404,0.046,0.184,TRUE,TRUE
"Poland",17,4,2,1,1,-0.392,-0.158,0.135,0.31,0.31,0.288,-0.754,-0.602,0.45,-0.181,0.724,0.708,0.472,0.386,0.389,0.136,1,0.996,0.134,0.602,0.666,0.506,0.878,0.72,0.725,0.256,0,0.008,0.246,0.794,TRUE,TRUE
"Portugal",17,4,2,5,0,-0.703,-0.29,0.5,0.732,0.712,-0.102,-0.587,-0.413,-0.159,0.536,0.898,0.886,0.21,0.084,0.077,0.74,1,0.998,0.68,0.112,0.234,0.18,0.476,0.178,0.185,0.502,0,0.012,0.68,0.29,TRUE,TRUE
"Romania",17,4,1,4,1,-0.359,0,0.359,0.333,0.327,-0.179,-0.103,0.026,0.641,0.564,0.69,0.42,0.348,0.3,0.3,0.742,0.686,0.466,0.03,0.154,0.728,1,0.69,0.664,0.662,0.594,0.688,0.956,0.06,0.35,TRUE,TRUE
"Slovakia",17,4,2,2,1,-0.798,0.062,-0.597,-0.697,-0.724,-0.456,-0.455,-0.073,0.629,0.257,0.962,0.31,0.846,0.952,0.954,0.992,1,0.702,0.008,0.282,0.102,0.758,0.338,0.096,0.078,0.01,0.002,0.606,0.02,0.608,TRUE,TRUE
"Slovenia",17,4,2,2,1,0.012,0.402,-0.111,-0.298,-0.305,0.481,-0.356,-0.471,0.485,-0.281,0.49,0.006,0.57,0.702,0.695,0.02,0.982,0.996,0.08,0.658,0.976,0.008,0.86,0.6,0.603,0.032,0.036,0.004,0.174,0.598,TRUE,TRUE
"Sweden",17,4,2,1,1,-0.795,-0.051,-0.718,-0.333,-0.333,-0.282,-0.538,-0.333,0.205,0.179,0.924,0.49,0.86,0.63,0.629,0.87,0.998,0.946,0.336,0.346,0.258,0.878,0.34,0.692,0.691,0.302,0.018,0.142,0.64,0.81,TRUE,TRUE
"United Kingdom",17,4,4,2,0,0.704,0.043,0.715,0.527,0.527,0.504,0.413,0.066,0.704,-0.715,0.094,0.244,0.072,0.16,0.156,0.004,0,0.308,0.006,0.954,0.146,0.816,0.15,0.338,0.331,0.004,0.002,0.618,0.006,0.072,TRUE,TRUE
"Austria",18,4,2,3,1,-0.711,0.097,-0.15,-0.124,-0.324,-0.623,-0.377,-0.122,0.235,-0.189,0.992,0.088,0.62,0.592,0.75,1,1,0.84,0.246,0.702,0.034,0.272,0.724,0.766,0.458,0,0,0.348,0.456,0.602,TRUE,TRUE
"Belgium",18,4,4,5,1,-0.849,0.25,-0.301,-0.045,-0.047,-0.192,-0.714,-0.512,0.24,-0.738,0.996,0.008,0.692,0.544,0.542,0.976,1,1,0.248,0.976,0.006,0.02,0.622,0.948,0.942,0.05,0,0,0.5,0.026,TRUE,TRUE
"Bulgaria",18,4,1,1,1,-0.143,0.143,-0.643,-0.643,NA,-0.154,0.143,0.143,-0.143,0,0.672,0.282,0.858,0.864,NA,0.602,0.358,0.356,0.616,0.422,0.908,0.706,0.35,0.364,NA,0.714,0.754,0.748,0.866,1,TRUE,TRUE
"Croatia",18,4,1,1,1,-0.764,-0.422,0.494,0.467,0.467,0.241,-0.714,-0.714,-0.18,0.539,0.936,0.94,0.228,0.264,0.247,0.346,0.994,0.992,0.632,0.2,0.192,0.112,0.536,0.594,0.539,0.676,0.01,0.012,0.734,0.44,TRUE,TRUE
"Cyprus",18,4,3,3,0,-0.445,0.226,0.283,0.071,0.003,-0.363,-0.294,0.001,0.172,-0.308,0.888,0.012,0.252,0.44,0.472,0.954,0.972,0.52,0.252,0.842,0.2,0.012,0.486,0.848,0.99,0.12,0.056,0.992,0.536,0.32,TRUE,TRUE
"Czechia",18,4,2,4,0,-0.782,-0.153,-0.454,-0.35,-0.308,0.044,-0.661,-0.503,0.298,0.057,0.976,0.802,0.834,0.774,0.748,0.39,1,1,0.14,0.43,0.066,0.376,0.392,0.5,0.556,0.788,0,0,0.29,0.916,TRUE,TRUE
"Denmark",18,4,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE
"Estonia",18,4,1,5,0,0.536,0.286,0.361,-0.095,-0.12,0.043,0.32,0.099,0.452,0.018,0.26,0.046,0.328,0.544,0.546,0.37,0.022,0.24,0.1,0.444,0.466,0.174,0.626,0.9,0.892,0.816,0.062,0.54,0.2,0.974,TRUE,TRUE
"Finland",18,4,1,3,1,-0.072,-0.167,0.138,0.063,0.176,-0.044,0.012,-0.009,0.222,0.279,0.558,0.848,0.466,0.49,0.385,0.648,0.428,0.494,0.286,0.3,0.916,0.242,0.858,0.93,0.7,0.698,0.928,0.95,0.628,0.596,TRUE,TRUE
"France",18,4,4,5,0,-0.249,0.05,-0.449,-0.505,-0.406,0.131,-0.288,-0.341,-0.152,-0.313,0.742,0.21,0.904,0.934,0.862,0.036,1,1,0.742,0.892,0.526,0.488,0.186,0.128,0.265,0.06,0,0,0.52,0.238,TRUE,TRUE
"Germany",18,4,3,2,1,-0.876,0.055,-0.842,-0.671,-0.671,-0.745,-0.476,0.156,0.499,-0.22,0.984,0.354,0.976,0.942,0.942,1,1,0.09,0.048,0.626,0.042,0.766,0.072,0.094,0.092,0,0.002,0.166,0.078,0.702,TRUE,TRUE
"Greece",18,4,3,1,0,-0.783,-0.078,0.444,0.132,NA,-0.559,-0.42,-0.204,-0.296,-0.515,0.992,0.654,0.208,0.408,NA,1,1,0.968,0.764,0.888,0.026,0.624,0.44,0.838,NA,0,0,0.072,0.454,0.228,TRUE,TRUE
"Hungary",18,4,1,1,1,-0.882,0.341,0.275,0.268,0.343,0.447,-0.778,-0.725,-0.203,-0.464,0.988,0.016,0.326,0.344,0.274,0.032,1,1,0.638,0.774,0.044,0.056,0.73,0.754,0.664,0.094,0,0,0.686,0.446,TRUE,TRUE
"Ireland",18,4,2,2,1,-0.255,0.288,0.243,0.004,-0.134,0.242,-0.543,-0.562,0.118,-0.636,0.696,0.006,0.308,0.476,0.63,0.132,1,1,0.376,0.968,0.6,0.016,0.648,0.998,0.714,0.262,0,0,0.762,0.068,TRUE,TRUE
"Italy",18,4,5,2,0,-0.338,0.251,0.395,0.448,0.426,0.172,-0.337,-0.419,0.353,-0.241,0.798,0.002,0.246,0.16,0.172,0.052,1,1,0.098,0.754,0.48,0.006,0.44,0.296,0.33,0.088,0,0,0.196,0.468,TRUE,TRUE
"Latvia",18,4,1,4,0,-0.517,-0.156,0.796,0.815,0.809,-0.331,0.096,0.153,0.533,0.682,0.788,0.702,0.05,0.046,0.019,0.978,0.268,0.16,0.06,0.062,0.512,0.448,0.128,0.11,0.046,0.04,0.578,0.36,0.126,0.182,TRUE,TRUE
"Lithuania",18,4,1,1,1,-0.944,0.222,-0.389,-0.389,-0.129,0.457,-0.778,-0.556,0.667,0.167,1,0.178,0.692,0.702,0.574,0.146,1,0.98,0.078,0.416,0.042,0.502,0.6,0.592,0.857,0.302,0.004,0.07,0.152,0.88,TRUE,TRUE
"Luxembourg",18,4,4,4,1,-0.903,0.314,-0.399,-0.29,-0.305,-0.616,-0.675,-0.377,0.09,-0.048,1,0.006,0.834,0.746,0.756,1,1,1,0.406,0.504,0,0.008,0.342,0.5,0.482,0,0,0,0.778,0.9,TRUE,TRUE
"Malta",18,4,3,2,1,-0.685,-0.445,-0.807,-0.418,-0.418,-0.569,-0.15,-0.15,-0.389,-0.463,0.882,0.944,0.936,0.698,0.7,0.984,0.746,0.736,0.86,0.69,0.362,0.072,0.12,0.562,0.569,0.026,0.55,0.562,0.278,0.522,TRUE,TRUE
"Netherlands",18,4,1,2,1,-0.709,0.127,-0.891,-0.891,-0.891,-0.587,-0.127,0.2,0.745,0.527,0.92,0.184,1,1,1,0.878,0.672,0.282,0.028,0.178,0.294,0.696,0.028,0.018,0.016,0.222,0.744,0.564,0.07,0.452,TRUE,TRUE
"Poland",18,4,2,1,1,-0.333,-0.072,0.124,0.412,0.412,0.262,-0.752,-0.66,0.542,0.033,0.668,0.538,0.396,0.262,0.263,0.152,1,1,0.072,0.46,0.692,0.742,0.884,0.582,0.585,0.292,0,0,0.142,0.974,TRUE,TRUE
"Portugal",18,4,2,5,0,-0.692,-0.178,0.581,0.763,0.75,-0.06,-0.589,-0.391,-0.123,0.581,0.884,0.774,0.212,0.08,0.058,0.668,1,0.996,0.584,0.106,0.272,0.382,0.412,0.164,0.122,0.694,0,0.012,0.806,0.278,TRUE,TRUE
"Romania",18,4,1,4,1,-0.333,-0.061,0.242,0.273,0.273,-0.242,0,0.061,0.667,0.636,0.692,0.5,0.414,0.318,0.325,0.782,0.506,0.406,0.028,0.12,0.764,0.852,0.796,0.698,0.7,0.474,1,0.848,0.05,0.31,TRUE,TRUE
"Slovakia",18,4,2,2,1,-0.806,-0.015,-0.591,-0.693,-0.727,-0.422,-0.428,-0.087,0.612,0.279,0.958,0.532,0.824,0.932,0.944,0.986,0.998,0.764,0.008,0.274,0.138,0.944,0.414,0.13,0.108,0.026,0.004,0.492,0.012,0.61,TRUE,TRUE
"Slovenia",18,4,2,2,1,0.03,0.435,-0.141,-0.301,-0.304,0.521,-0.374,-0.493,0.493,-0.351,0.524,0,0.606,0.712,0.701,0.01,0.984,1,0.11,0.744,0.97,0.002,0.798,0.59,0.592,0.024,0.036,0.002,0.2,0.502,TRUE,TRUE
"Sweden",18,4,2,1,1,-0.758,0,-0.697,-0.515,-0.515,-0.303,-0.394,-0.182,0.273,0.121,0.934,0.378,0.888,0.776,0.776,0.878,0.954,0.824,0.306,0.404,0.312,1,0.332,0.49,0.489,0.314,0.104,0.414,0.564,0.876,TRUE,TRUE
"United Kingdom",18,4,4,2,0,0.711,0.145,0.717,0.52,0.52,0.495,0.391,0.071,0.76,-0.76,0.132,0.118,0.112,0.136,0.143,0,0.002,0.302,0.002,0.97,0.212,0.36,0.204,0.32,0.325,0.004,0.002,0.556,0.002,0.062,TRUE,TRUE
"Austria",19,4,2,3,1,-0.714,0.094,-0.163,-0.124,-0.339,-0.62,-0.403,-0.15,0.217,-0.214,0.98,0.126,0.644,0.602,0.798,1,1,0.86,0.236,0.706,0.038,0.312,0.686,0.764,0.385,0,0.002,0.256,0.472,0.576,TRUE,TRUE
"Belgium",19,4,4,5,1,-0.88,0.2,-0.339,-0.078,-0.079,-0.221,-0.744,-0.512,0.257,-0.702,0.998,0.03,0.728,0.534,0.54,0.986,1,1,0.268,0.966,0.004,0.09,0.538,0.908,0.897,0.024,0,0,0.524,0.06,TRUE,TRUE
"Bulgaria",19,4,1,1,1,-0.333,0.333,-0.81,-0.81,NA,-0.25,0.333,0.333,-0.143,0.143,0.772,0.116,0.946,0.94,NA,0.694,0.208,0.206,0.61,0.356,0.736,0.36,0.22,0.222,NA,0.618,0.46,0.456,0.89,0.916,TRUE,TRUE
"Croatia",19,4,1,1,1,-0.667,-0.5,0.5,0.5,0.5,0.327,-0.6,-0.6,-0.444,0.389,0.924,0.97,0.22,0.258,0.188,0.29,0.964,0.97,0.81,0.248,0.338,0.07,0.502,0.53,0.45,0.578,0.058,0.054,0.458,0.626,TRUE,TRUE
"Cyprus",19,4,3,3,0,-0.465,0.237,0.307,0.085,0.115,-0.346,-0.312,-0.051,0.172,-0.312,0.9,0.006,0.214,0.398,0.283,0.932,0.974,0.626,0.256,0.836,0.214,0.006,0.458,0.824,0.624,0.13,0.046,0.698,0.544,0.34,TRUE,TRUE
"Czechia",19,4,2,4,0,-0.766,-0.049,-0.476,-0.383,-0.359,0.004,-0.668,-0.507,0.31,0.09,0.968,0.544,0.812,0.764,0.739,0.534,1,1,0.168,0.442,0.076,0.808,0.35,0.46,0.505,0.982,0,0,0.334,0.88,TRUE,TRUE
"Denmark",19,4,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE
"Estonia",19,4,1,5,0,0.569,0.258,0.377,-0.1,-0.115,0.079,0.304,0.057,0.411,0.013,0.224,0.064,0.352,0.558,0.563,0.372,0.042,0.368,0.136,0.454,0.396,0.208,0.67,0.892,0.882,0.672,0.076,0.726,0.272,0.988,TRUE,TRUE
"Finland",19,4,1,3,1,-0.059,-0.218,0.146,0.041,0.262,-0.08,0.025,0.032,0.143,0.294,0.532,0.922,0.37,0.428,0.241,0.774,0.408,0.398,0.36,0.258,0.942,0.14,0.822,0.972,0.602,0.452,0.826,0.816,0.77,0.56,TRUE,TRUE
"France",19,4,4,5,0,-0.301,0.117,-0.434,-0.509,-0.412,0.146,-0.32,-0.351,-0.2,-0.341,0.832,0.054,0.874,0.946,0.87,0.02,1,1,0.784,0.9,0.362,0.09,0.23,0.104,0.264,0.04,0,0,0.45,0.212,TRUE,TRUE
"Germany",19,4,3,2,1,-0.889,0.066,-0.836,-0.708,-0.708,-0.736,-0.515,0.123,0.529,-0.194,0.982,0.292,0.964,0.964,0.966,1,1,0.134,0.03,0.62,0.056,0.708,0.084,0.066,0.066,0,0,0.274,0.066,0.724,TRUE,TRUE
"Greece",19,4,3,1,0,-0.841,0.117,0.435,0.121,NA,-0.534,-0.476,-0.327,-0.283,-0.463,0.994,0.232,0.26,0.448,NA,1,1,0.998,0.71,0.822,0.014,0.474,0.486,0.838,NA,0,0,0.006,0.504,0.334,TRUE,TRUE
"Hungary",19,4,1,1,1,-0.897,0.25,0.309,0.279,0.405,0.376,-0.779,-0.735,-0.191,-0.397,0.996,0.052,0.336,0.374,0.224,0.11,1,1,0.64,0.672,0.026,0.176,0.712,0.766,0.542,0.198,0,0,0.716,0.562,TRUE,TRUE
"Ireland",19,4,2,2,1,-0.267,0.243,0.227,-0.003,-0.136,0.237,-0.517,-0.539,0.094,-0.615,0.702,0.026,0.362,0.55,0.654,0.126,1,1,0.47,0.964,0.65,0.04,0.678,0.992,0.75,0.246,0,0,0.87,0.068,TRUE,TRUE
"Italy",19,4,5,2,0,-0.368,0.209,0.384,0.436,0.404,0.197,-0.352,-0.429,0.35,-0.232,0.784,0.014,0.244,0.168,0.206,0.014,1,1,0.116,0.718,0.496,0.022,0.43,0.302,0.363,0.046,0,0,0.21,0.516,TRUE,TRUE
"Latvia",19,4,1,4,0,-0.437,-0.159,0.817,0.817,0.801,-0.359,0.165,0.187,0.471,0.454,0.734,0.674,0.042,0.044,0.017,0.978,0.186,0.134,0.084,0.222,0.62,0.456,0.1,0.112,0.043,0.05,0.402,0.316,0.174,0.492,TRUE,TRUE
"Lithuania",19,4,1,1,1,-0.786,0,-0.357,-0.357,-0.071,0.327,-0.571,-0.429,0.429,0.429,0.97,0.46,0.652,0.626,0.502,0.258,0.984,0.936,0.222,0.224,0.268,1,0.684,0.73,0.968,0.56,0.108,0.228,0.468,0.592,TRUE,TRUE
"Luxembourg",19,4,4,4,1,-0.909,0.33,-0.389,-0.281,-0.302,-0.603,-0.679,-0.405,0.105,-0.118,1,0.008,0.782,0.704,0.71,1,1,1,0.394,0.598,0,0.008,0.404,0.572,0.552,0,0,0,0.77,0.758,TRUE,TRUE
"Malta",19,4,3,2,1,-0.719,-0.556,-0.629,-0.156,-0.156,-0.632,-0.067,-0.067,-0.36,-0.225,0.888,0.982,0.83,0.562,0.564,0.99,0.638,0.622,0.806,0.508,0.382,0.032,0.36,0.854,0.849,0.022,0.848,0.866,0.368,0.788,TRUE,TRUE
"Netherlands",19,4,1,2,1,-0.778,0.022,-0.911,-0.822,-0.822,-0.494,-0.244,0.244,0.822,0.511,0.968,0.376,1,0.968,0.97,0.802,0.778,0.256,0.03,0.19,0.248,1,0.02,0.08,0.079,0.358,0.52,0.524,0.066,0.49,TRUE,TRUE
"Poland",19,4,2,1,1,-0.279,0.059,0.176,0.412,0.412,0.324,-0.632,-0.662,0.603,0.206,0.64,0.272,0.412,0.28,0.283,0.124,1,1,0.064,0.344,0.798,0.75,0.858,0.586,0.588,0.222,0.006,0.004,0.114,0.79,TRUE,TRUE
"Portugal",19,4,2,5,0,-0.671,-0.247,0.662,0.775,0.766,-0.013,-0.567,-0.325,-0.082,0.576,0.856,0.868,0.196,0.086,0.07,0.57,1,0.98,0.552,0.144,0.324,0.22,0.362,0.158,0.126,0.916,0,0.07,0.836,0.292,TRUE,TRUE
"Romania",19,4,1,4,1,-0.273,-0.018,0.309,0.309,0.309,-0.2,0.091,0.164,0.818,0.6,0.692,0.448,0.39,0.328,0.335,0.716,0.382,0.278,0.006,0.11,0.818,1,0.75,0.718,0.722,0.602,0.772,0.554,0.016,0.356,TRUE,TRUE
"Slovakia",19,4,2,2,1,-0.825,0.022,-0.589,-0.661,-0.685,-0.423,-0.407,-0.036,0.577,0.341,0.972,0.41,0.806,0.91,0.908,0.992,1,0.628,0.024,0.276,0.1,0.902,0.396,0.192,0.186,0.034,0.006,0.78,0.046,0.552,TRUE,TRUE
"Slovenia",19,4,2,2,1,0.009,0.395,-0.194,-0.347,-0.355,0.545,-0.363,-0.485,0.535,-0.374,0.484,0.006,0.574,0.668,0.668,0.004,0.98,0.994,0.08,0.748,0.988,0.008,0.77,0.604,0.59,0.012,0.034,0.006,0.136,0.506,TRUE,TRUE
"Sweden",19,4,2,1,1,-0.673,0.164,-0.782,-0.455,-0.455,-0.345,-0.273,-0.018,0.382,0.2,0.882,0.202,0.92,0.736,0.736,0.886,0.874,0.52,0.19,0.346,0.44,0.622,0.256,0.55,0.552,0.3,0.31,1,0.386,0.798,TRUE,TRUE
"United Kingdom",19,4,4,2,0,0.733,0.2,0.687,0.553,0.553,0.467,0.453,0.087,0.78,-0.847,0.082,0.048,0.084,0.134,0.136,0,0.004,0.232,0,0.994,0.13,0.194,0.166,0.26,0.265,0.002,0.006,0.488,0.002,0.012,TRUE,TRUE
"Austria",20,4,2,3,1,-0.723,0.152,-0.148,-0.117,-0.38,-0.613,-0.409,-0.114,0.191,-0.253,0.988,0.052,0.644,0.604,0.831,1,1,0.798,0.244,0.746,0.034,0.12,0.744,0.814,0.384,0,0,0.402,0.554,0.48,TRUE,TRUE
"Belgium",20,4,4,5,1,-0.91,0.273,-0.364,-0.11,-0.109,-0.251,-0.759,-0.515,0.246,-0.721,1,0.014,0.714,0.534,0.542,0.992,1,1,0.332,0.972,0.002,0.03,0.582,0.876,0.887,0.008,0,0,0.64,0.05,TRUE,TRUE
"Bulgaria",20,4,1,1,1,-0.333,0.067,-0.467,-0.467,NA,-0.414,0.467,0.467,-0.067,0.333,0.786,0.414,0.73,0.75,NA,0.752,0.154,0.154,0.55,0.312,0.788,1,0.636,0.644,NA,0.526,0.308,0.31,1,0.758,TRUE,TRUE
"Croatia",20,4,1,1,1,-0.429,-0.113,0.182,0.214,0.214,0.169,-0.2,-0.2,-0.429,0.429,0.788,0.58,0.37,0.368,0.352,0.366,0.67,0.658,0.794,0.228,0.66,0.668,0.84,0.838,0.852,0.782,0.628,0.638,0.494,0.64,TRUE,TRUE
"Cyprus",20,4,3,3,0,-0.489,0.226,0.342,0.11,0.1,-0.329,-0.332,-0.08,0.162,-0.317,0.896,0.014,0.212,0.41,0.36,0.922,0.99,0.732,0.272,0.804,0.192,0.018,0.398,0.78,0.647,0.162,0.022,0.544,0.572,0.356,TRUE,TRUE
"Czechia",20,4,2,4,0,-0.726,-0.09,-0.482,-0.385,-0.367,0.001,-0.615,-0.482,0.303,0.118,0.954,0.64,0.784,0.756,0.744,0.5,1,1,0.188,0.398,0.088,0.646,0.418,0.496,0.518,1,0,0,0.376,0.826,TRUE,TRUE
"Denmark",20,4,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE
"Estonia",20,4,1,5,0,0.611,0.24,0.341,-0.203,-0.212,0.085,0.272,0.054,0.338,-0.029,0.208,0.088,0.374,0.614,0.618,0.352,0.048,0.362,0.218,0.516,0.384,0.246,0.704,0.816,0.801,0.71,0.118,0.76,0.408,0.96,TRUE,TRUE
"Finland",20,4,1,3,1,-0.066,-0.178,0.116,0.049,0.177,-0.093,0.119,0.072,0.096,0.298,0.556,0.844,0.424,0.476,0.342,0.808,0.188,0.296,0.402,0.296,0.92,0.25,0.866,0.94,0.693,0.418,0.32,0.55,0.844,0.572,TRUE,TRUE
"France",20,4,4,5,0,-0.33,0.078,-0.418,-0.52,-0.408,0.17,-0.337,-0.385,-0.198,-0.339,0.838,0.11,0.898,0.93,0.871,0.006,1,1,0.768,0.896,0.398,0.27,0.214,0.12,0.253,0.01,0,0,0.462,0.218,TRUE,TRUE
"Germany",20,4,3,2,1,-0.932,0.023,-0.852,-0.731,-0.731,-0.72,-0.629,0.083,0.545,-0.148,1,0.368,0.982,0.974,0.972,1,1,0.224,0.026,0.554,0.01,0.902,0.068,0.052,0.054,0,0,0.44,0.076,0.822,TRUE,TRUE
"Greece",20,4,3,1,0,-0.869,0.055,0.432,0.129,NA,-0.506,-0.489,-0.334,-0.308,-0.392,1,0.34,0.238,0.416,NA,1,1,0.996,0.754,0.784,0.002,0.738,0.508,0.846,NA,0,0,0.006,0.46,0.438,TRUE,TRUE
"Hungary",20,4,1,1,1,-0.924,0.252,0.317,0.317,0.498,0.291,-0.833,-0.767,-0.202,-0.303,0.998,0.054,0.328,0.342,0.218,0.124,1,1,0.66,0.66,0.01,0.178,0.692,0.706,0.446,0.282,0,0,0.722,0.64,TRUE,TRUE
"Ireland",20,4,2,2,1,-0.266,0.364,0.261,-0.003,-0.134,0.285,-0.538,-0.559,0.075,-0.645,0.704,0.002,0.334,0.508,0.638,0.102,1,1,0.428,0.95,0.634,0.004,0.638,0.994,0.75,0.188,0,0,0.874,0.096,TRUE,TRUE
"Italy",20,4,5,2,0,-0.384,0.248,0.394,0.446,0.412,0.216,-0.359,-0.43,0.332,-0.204,0.77,0.002,0.222,0.142,0.178,0.01,1,1,0.136,0.708,0.46,0.012,0.44,0.3,0.363,0.028,0,0,0.27,0.602,TRUE,TRUE
"Latvia",20,4,1,4,0,-0.429,-0.219,0.752,0.79,0.792,-0.332,0.103,0.179,0.371,0.41,0.722,0.794,0.084,0.054,0.015,0.964,0.306,0.202,0.168,0.236,0.654,0.33,0.192,0.114,0.051,0.06,0.616,0.382,0.31,0.546,TRUE,TRUE
"Lithuania",20,4,1,1,1,-0.714,-0.143,-0.143,-0.143,0,0.524,-0.619,-0.524,0.333,0.429,0.972,0.652,0.524,0.568,0.47,0.204,0.988,0.958,0.332,0.206,0.33,0.788,0.928,0.92,1,0.434,0.098,0.174,0.646,0.564,TRUE,TRUE
"Luxembourg",20,4,4,4,1,-0.916,0.344,-0.366,-0.28,-0.301,-0.588,-0.682,-0.435,0.104,-0.178,1,0.002,0.742,0.698,0.704,1,1,1,0.378,0.674,0,0.004,0.466,0.562,0.55,0,0,0,0.782,0.638,TRUE,TRUE
"Malta",20,4,3,2,1,-0.761,-0.5,-0.556,-0.444,-0.444,-0.719,0.316,0.316,-0.222,-0.028,0.928,0.958,0.756,0.704,0.692,0.984,0.11,0.108,0.716,0.444,0.302,0.086,0.524,0.594,0.595,0.032,0.22,0.216,0.646,0.97,TRUE,TRUE
"Netherlands",20,4,1,2,1,-0.873,0.222,-0.944,-0.944,-0.944,-0.479,-0.167,0.278,0.889,0.648,0.984,0.14,0.998,1,1,0.794,0.738,0.236,0.032,0.122,0.118,0.526,0.016,0.014,0.01,0.468,0.688,0.466,0.062,0.336,TRUE,TRUE
"Poland",20,4,2,1,1,-0.233,0.033,-0.2,0.083,0.083,0.433,-0.5,-0.583,0.567,0.117,0.646,0.366,0.6,0.468,0.467,0.05,0.994,0.998,0.056,0.394,0.794,0.914,0.85,0.938,0.933,0.106,0.026,0.01,0.104,0.892,TRUE,TRUE
"Portugal",20,4,2,5,0,-0.686,-0.105,0.657,0.79,0.773,-0.096,-0.495,-0.276,-0.019,0.619,0.876,0.66,0.18,0.088,0.073,0.682,1,0.944,0.492,0.1,0.332,0.618,0.382,0.168,0.146,0.602,0.002,0.104,0.976,0.254,TRUE,TRUE
"Romania",20,4,1,4,1,-0.111,-0.111,0.156,0.156,0.156,-0.067,0.244,0.156,0.778,0.644,0.628,0.58,0.442,0.366,0.361,0.608,0.208,0.32,0.012,0.118,0.924,0.754,0.902,0.878,0.873,0.91,0.442,0.65,0.016,0.368,TRUE,TRUE
"Slovakia",20,4,2,2,1,-0.856,0.034,-0.652,-0.699,-0.722,-0.438,-0.362,0.034,0.6,0.394,0.972,0.36,0.87,0.928,0.94,0.994,0.994,0.374,0.032,0.202,0.078,0.858,0.336,0.146,0.128,0.012,0.014,0.808,0.072,0.492,TRUE,TRUE
