"country_name","windowsize","bandwidth","nr_arcoefs","nr_macoefs","arima_convergence_warning","variance_tau","variance_first_diff_tau","autocovariance_tau","autocorrelation_tau","decay_time_tau","mean_tau","index_of_dispersion_tau","coefficient_of_variation_tau","skewness_tau","kurtosis_tau","variance_pvalue","variance_first_diff_pvalue","autocovariance_pvalue","autocorrelation_pvalue","decay_time_pvalue","mean_pvalue","index_of_dispersion_pvalue","coefficient_of_variation_pvalue","skewness_pvalue","kurtosis_pvalue","variance_pvalue_abs","variance_first_diff_pvalue_abs","autocovariance_pvalue_abs","autocorrelation_pvalue_abs","decay_time_pvalue_abs","mean_pvalue_abs","index_of_dispersion_pvalue_abs","coefficient_of_variation_pvalue_abs","skewness_pvalue_abs","kurtosis_pvalue_abs","backward_only","cut_first_window"
"Lithuania",5,2,1,1,1,-0.253,0.127,0.139,-0.108,-0.051,-0.201,-0.169,-0.065,-0.061,0.331,0.774,0.174,0.336,0.588,0.504,0.984,0.884,0.708,0.604,0.108,0.484,0.396,0.756,0.774,0.853,0.032,0.216,0.63,0.788,0.224,TRUE,TRUE
"Luxembourg",5,2,4,4,0,-0.696,0.223,0.42,-0.036,-0.008,-0.643,-0.515,-0.065,0.152,0.141,0.996,0,0.11,0.628,0.561,1,1,0.826,0.106,0.178,0.006,0,0.206,0.788,0.968,0,0,0.364,0.208,0.386,TRUE,TRUE
"Malta",5,2,2,2,1,-0.455,-0.296,-0.203,-0.573,-0.072,-0.277,-0.039,0.311,-0.368,-0.355,0.934,0.998,0.686,0.976,0.609,1,0.642,0.004,0.962,0.9,0.172,0.024,0.532,0.046,0.792,0,0.776,0.01,0.07,0.156,TRUE,TRUE
"Netherlands",5,2,2,2,1,-0.468,0.072,-0.225,-0.254,-0.358,-0.744,-0.029,0.283,0.127,0.403,0.944,0.244,0.698,0.804,0.929,1,0.582,0.034,0.266,0.05,0.152,0.59,0.522,0.38,0.119,0,0.858,0.072,0.544,0.136,TRUE,TRUE
"Poland",5,2,1,1,1,-0.14,0.148,0.2,0.178,0.104,0.043,-0.14,-0.144,0.471,-0.57,0.676,0.076,0.242,0.224,0.263,0.308,0.884,0.882,0.002,0.998,0.672,0.18,0.51,0.506,0.61,0.642,0.228,0.234,0.006,0.004,TRUE,TRUE
"Portugal",5,2,2,3,1,-0.631,-0.006,0.64,0.383,0.189,-0.352,-0.467,-0.397,-0.016,0.091,0.996,0.492,0.004,0.068,0.206,1,1,1,0.566,0.318,0.008,0.96,0.01,0.146,0.385,0,0,0,0.91,0.682,TRUE,TRUE
"Romania",5,2,1,1,0,-0.347,0.1,0.333,0.36,0.29,-0.304,-0.233,-0.14,0.353,-0.087,0.876,0.206,0.134,0.096,0.068,1,0.97,0.854,0.036,0.602,0.292,0.47,0.298,0.222,0.175,0,0.082,0.32,0.078,0.768,TRUE,TRUE
"Slovakia",5,2,3,1,1,-0.405,0.081,-0.089,-0.374,-0.468,-0.357,-0.063,0.126,0.127,0.122,0.966,0.108,0.638,0.95,0.998,1,0.742,0.112,0.152,0.272,0.08,0.264,0.738,0.114,0.008,0,0.552,0.198,0.266,0.564,TRUE,TRUE
"Slovenia",5,2,1,1,1,-0.07,0.102,0.043,-0.064,-0.025,-0.026,-0.11,-0.064,-0.009,-0.088,0.588,0.06,0.416,0.596,0.56,0.65,0.896,0.754,0.51,0.628,0.802,0.158,0.854,0.774,0.902,0.732,0.24,0.518,0.976,0.656,TRUE,TRUE
"Sweden",5,2,3,4,0,-0.66,0.113,-0.113,0.113,0.085,-0.611,-0.313,-0.02,0.047,-0.587,0.992,0.176,0.634,0.344,0.364,1,0.996,0.574,0.4,0.992,0.022,0.426,0.722,0.74,0.763,0,0.008,0.912,0.832,0.012,TRUE,TRUE
